step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched,GoofSpiel3/tau,GoofSpiel3/alpha,GoofSpiel3/beta,GoofSpiel3/gamma
0,0.6666666666666666,0,0,,,,
1,0.6666666666666666,1,134,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,0.1414447885604052,2,268,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,0.016926883123355354,3,402,1,0.9627525753744601,-0.8960646425302452,4.997659271284914
4,0.003595548772453757,4,536,1,0.8789980765786716,-0.9229320375840235,4.998158278317758
5,0.001056681530196626,5,670,1,0.8200352001156122,-0.948682167561826,4.998443767393396
6,0.00038332803903718917,6,804,1,0.7755786789919563,-0.9727373278470166,4.998629606230767
7,0.00016126204236863704,7,938,1,0.7404334415702754,-0.9957027209259883,4.998759606480903
8,7.573518157619542e-05,8,1072,1,0.7118064159038997,-1.0175737749311242,4.998855877307728
9,3.872724611972598e-05,9,1206,1,0.687780147629895,-1.0386206414498922,4.998929753049973
10,2.1192035371124696e-05,10,1340,1,0.6670768657684512,-1.0586972601230349,4.998987704028792
11,1.2255741835908895e-05,11,1474,1,0.6489605637426632,-1.0779295320782436,4.99903416935713
12,7.421123815500671e-06,12,1608,1,0.6331679728097039,-1.0964269978897963,4.9990719110081105
13,4.671559861691386e-06,13,1742,1,0.6194251974440144,-1.114285475922492,4.99910286384025
14,3.0400975739892065e-06,14,1876,1,0.6073621231481403,-1.1316012267941897,4.999128511687354
15,2.0361430313498185e-06,15,2010,1,0.596696355066777,-1.1484494309151718,4.999149925290876
16,1.3984680579076643e-06,16,2144,1,0.587208088182334,-1.16489001653258,4.9991678972894595
17,9.82037664756584e-07,17,2278,1,0.5787232785377503,-1.1809715906543585,4.9991830273582
18,7.033308950686252e-07,18,2412,1,0.5711020494317025,-1.1967341707475507,4.999195777771167
19,5.12675600967459e-07,19,2546,1,0.5642305060825197,-1.2122111324878315,4.999206510742757
20,3.796722624002685e-07,20,2680,1,0.5580143891230209,-1.2274276240780795,4.999215515836336
21,2.8523347227483664e-07,21,2814,1,0.5523670489647898,-1.2423482705848496,4.999223056974784
22,2.1709496013697083e-07,22,2948,1,0.5472209277763662,-1.2569768182810686,4.999229330227921
23,1.6721037402616544e-07,23,3082,1,0.5425219742244181,-1.2713384116811535,4.99923448525322
24,1.3019952899283384e-07,24,3216,1,0.5382240225811241,-1.2854549611745176,4.9992386463653995
25,1.0240207930483108e-07,25,3350,1,0.5342873711856664,-1.2993456831879975,4.999241917657813
26,8.128785889649822e-08,26,3484,1,0.5306808179608455,-1.3129978614508941,4.999244428118713
27,6.508215414766287e-08,27,3618,1,0.5273780960342622,-1.3263903325171151,4.999246301166609
28,5.2523214168023724e-08,28,3752,1,0.5243521482044688,-1.3395422208286127,4.99924759212394
29,4.27026898473206e-08,29,3886,1,0.5215785863103795,-1.3524766914184925,4.999248348122444
30,3.4959005068485863e-08,30,4020,1,0.5190364434717853,-1.3652093287902665,4.999248610210587
31,2.8805070561740357e-08,31,4154,1,0.5167075838479445,-1.3777503612803055,4.999248423008902
32,2.3878620446183664e-08,32,4288,1,0.5145815729458962,-1.3901089235711526,4.9992478309399235
33,1.9907663486027913e-08,33,4422,1,0.512644163615755,-1.4022957916336294,4.9992468602779025
34,1.6686167152124707e-08,34,4556,1,0.5108815193442309,-1.4143206233299785,4.9992455337485495
35,1.405675562353318e-08,35,4690,1,0.509281213226445,-1.4261922524738626,4.999243871417444
36,1.1898271516675646e-08,36,4824,1,0.5078319324855551,-1.4379187900317623,4.999241891054993
37,1.0116747296693676e-08,37,4958,1,0.5065202085393692,-1.4495081181904763,4.9992396087982325
38,8.638791706022403e-09,38,5092,1,0.5053333517888245,-1.4609688540761243,4.9992370395582855
39,7.406703366470779e-09,39,5226,1,0.504263291044188,-1.4723074522323518,4.999234195786821
40,6.374830988745946e-09,40,5360,1,0.5033029376722626,-1.4835296250342036,4.999231088475145
41,5.506841170167158e-09,41,5494,1,0.5024458117558384,-1.494640673505386,4.999227727428313
42,4.773652411827148e-09,42,5628,1,0.5016859768329993,-1.50564552629611,4.9992241213980515
43,4.1518620076718185e-09,43,5762,1,0.5010173363913739,-1.51654715397857,4.999220280865923
44,3.622540276561069e-09,44,5896,1,0.5004342756605897,-1.5273483280496931,4.999216215309257
